a99a4ab02ed331530ef8dd47a474ce8a;Valuation of Balances Relevant to Balance Sheet
function;Balance Sheet Values;{NN}{NNP}{NNS}
function;Change in Material Price;{NNP}{IN}{NNP}
function;Determination of lowest value;{NN}{IN}{JJS}{NN}
function;FIFO Valuation;{NNP}{NN}
function;LIFO valuation;{NNP}{NN}
event;FIFO valuation to be based on single receipts;{NNP}{NN}{TO}{VB}{VBN}{IN}{JJ}{NNS}
event;Future material price must be activated;{JJ}{NN}{NN}{MD}{VB}{VBN}
event;Market price analysis must be carried out;{NN}{NN}{NN}{MD}{VB}{VBN}{RP}
event;LIFO begins in middle of fiscal year;{NN}{VBZ}{IN}{NN}{IN}{JJ}{NN}
event;Validity date reset;{NN}{NN}{NN}
event;Revaluation document has been created;{NN}{NN}{VBZ}{VBN}{VBN}
event;LIFO valuation to be based on single receipts;{NNP}{NN}{TO}{VB}{VBN}{IN}{JJ}{NNS}
event;List of balance sheet values per account was created;{NN}{IN}{NN}{NN}{NNS}{IN}{NN}{VBD}{VBN}
event;LIFO single results were displayed;{NNP}{JJ}{NNS}{VBD}{VBN}
event;Lowest value has been determined;{JJS}{NN}{VBZ}{VBN}{VBN}
event;Tax-law-based/ commercial-law-based valuation price in material is determined;{JJ}{:}{JJ}{NN}{NN}{IN}{NN}{VBZ}{VBN}
event;Materials should be subject to FIFO valuation;{NNPS}{MD}{VB}{JJ}{TO}{NNP}{NN}
event;Future price reset;{JJ}{NN}{NN}
event;Materials should be subject to LIFO valuation;{NNPS}{MD}{VB}{JJ}{TO}{NNP}{NN}
event;Material valuation price updated;{NN}{NN}{NN}{VBN}
event;List of lowest value-price variances was created;{NN}{IN}{JJS}{NN}{NNS}{VBD}{VBN}
event;FIFO valuation was carried out;{NNP}{NN}{VBD}{VBN}{RP}
event;FIFO begins in the middle of the fiscal year;{NN}{VBZ}{IN}{DT}{NN}{IN}{DT}{JJ}{NN}
event;LIFO pools must be formed;{NN}{NNS}{MD}{VB}{VBN}
event;Batch input has been created for price change;{NN}{NN}{VBZ}{VBN}{VBN}{IN}{NN}{NN}
